"";"species";"island";"sex"
"1";"Adelie";"Torgersen";"male"
"2";"Adelie";"Torgersen";"female"
"3";"Adelie";"Torgersen";"female"
"4";"Adelie";"Torgersen";NA
"5";"Adelie";"Torgersen";"female"
"6";"Adelie";"Torgersen";"male"
"7";"Adelie";"Torgersen";"female"
"8";"Adelie";"Torgersen";"male"
"9";"Adelie";"Torgersen";NA
"10";"Adelie";"Torgersen";NA
"11";"Adelie";"Torgersen";NA
"12";"Adelie";"Torgersen";NA
"13";"Adelie";"Torgersen";"female"
"14";"Adelie";"Torgersen";"male"
"15";"Adelie";"Torgersen";"male"
"16";"Adelie";"Torgersen";"female"
"17";"Adelie";"Torgersen";"female"
"18";"Adelie";"Torgersen";"male"
"19";"Adelie";"Torgersen";"female"
"20";"Adelie";"Torgersen";"male"
"21";"Adelie";"Biscoe";"female"
"22";"Adelie";"Biscoe";"male"
"23";"Adelie";"Biscoe";"female"
"24";"Adelie";"Biscoe";"male"
"25";"Adelie";"Biscoe";"male"
"26";"Adelie";"Biscoe";"female"
"27";"Adelie";"Biscoe";"male"
"28";"Adelie";"Biscoe";"female"
"29";"Adelie";"Biscoe";"female"
"30";"Adelie";"Biscoe";"male"
"31";"Adelie";"Dream";"female"
"32";"Adelie";"Dream";"male"
"33";"Adelie";"Dream";"female"
"34";"Adelie";"Dream";"male"
"35";"Adelie";"Dream";"female"
"36";"Adelie";"Dream";"male"
"37";"Adelie";"Dream";"male"
"38";"Adelie";"Dream";"female"
"39";"Adelie";"Dream";"female"
"40";"Adelie";"Dream";"male"
"41";"Adelie";"Dream";"female"
"42";"Adelie";"Dream";"male"
"43";"Adelie";"Dream";"female"
"44";"Adelie";"Dream";"male"
"45";"Adelie";"Dream";"female"
"46";"Adelie";"Dream";"male"
"47";"Adelie";"Dream";"male"
"48";"Adelie";"Dream";NA
"49";"Adelie";"Dream";"female"
"50";"Adelie";"Dream";"male"
"51";"Adelie";"Biscoe";"female"
"52";"Adelie";"Biscoe";"male"
"53";"Adelie";"Biscoe";"female"
"54";"Adelie";"Biscoe";"male"
"55";"Adelie";"Biscoe";"female"
"56";"Adelie";"Biscoe";"male"
"57";"Adelie";"Biscoe";"female"
"58";"Adelie";"Biscoe";"male"
"59";"Adelie";"Biscoe";"female"
"60";"Adelie";"Biscoe";"male"
"61";"Adelie";"Biscoe";"female"
"62";"Adelie";"Biscoe";"male"
"63";"Adelie";"Biscoe";"female"
"64";"Adelie";"Biscoe";"male"
"65";"Adelie";"Biscoe";"female"
"66";"Adelie";"Biscoe";"male"
"67";"Adelie";"Biscoe";"female"
"68";"Adelie";"Biscoe";"male"
"69";"Adelie";"Torgersen";"female"
"70";"Adelie";"Torgersen";"male"
"71";"Adelie";"Torgersen";"female"
"72";"Adelie";"Torgersen";"male"
"73";"Adelie";"Torgersen";"female"
"74";"Adelie";"Torgersen";"male"
"75";"Adelie";"Torgersen";"female"
"76";"Adelie";"Torgersen";"male"
"77";"Adelie";"Torgersen";"female"
"78";"Adelie";"Torgersen";"male"
"79";"Adelie";"Torgersen";"female"
"80";"Adelie";"Torgersen";"male"
"81";"Adelie";"Torgersen";"female"
"82";"Adelie";"Torgersen";"male"
"83";"Adelie";"Torgersen";"female"
"84";"Adelie";"Torgersen";"male"
"85";"Adelie";"Dream";"female"
"86";"Adelie";"Dream";"male"
"87";"Adelie";"Dream";"male"
"88";"Adelie";"Dream";"female"
"89";"Adelie";"Dream";"male"
"90";"Adelie";"Dream";"female"
"91";"Adelie";"Dream";"female"
"92";"Adelie";"Dream";"male"
"93";"Adelie";"Dream";"female"
"94";"Adelie";"Dream";"male"
"95";"Adelie";"Dream";"female"
"96";"Adelie";"Dream";"male"
"97";"Adelie";"Dream";"female"
"98";"Adelie";"Dream";"male"
"99";"Adelie";"Dream";"female"
"100";"Adelie";"Dream";"male"
"101";"Adelie";"Biscoe";"female"
"102";"Adelie";"Biscoe";"male"
"103";"Adelie";"Biscoe";"female"
"104";"Adelie";"Biscoe";"male"
"105";"Adelie";"Biscoe";"female"
"106";"Adelie";"Biscoe";"male"
"107";"Adelie";"Biscoe";"female"
"108";"Adelie";"Biscoe";"male"
"109";"Adelie";"Biscoe";"female"
"110";"Adelie";"Biscoe";"male"
"111";"Adelie";"Biscoe";"female"
"112";"Adelie";"Biscoe";"male"
"113";"Adelie";"Biscoe";"female"
"114";"Adelie";"Biscoe";"male"
"115";"Adelie";"Biscoe";"female"
"116";"Adelie";"Biscoe";"male"
"117";"Adelie";"Torgersen";"female"
"118";"Adelie";"Torgersen";"male"
"119";"Adelie";"Torgersen";"female"
"120";"Adelie";"Torgersen";"male"
"121";"Adelie";"Torgersen";"female"
"122";"Adelie";"Torgersen";"male"
"123";"Adelie";"Torgersen";"female"
"124";"Adelie";"Torgersen";"male"
"125";"Adelie";"Torgersen";"female"
"126";"Adelie";"Torgersen";"male"
"127";"Adelie";"Torgersen";"female"
"128";"Adelie";"Torgersen";"male"
"129";"Adelie";"Torgersen";"female"
"130";"Adelie";"Torgersen";"male"
"131";"Adelie";"Torgersen";"female"
"132";"Adelie";"Torgersen";"male"
"133";"Adelie";"Dream";"female"
"134";"Adelie";"Dream";"male"
"135";"Adelie";"Dream";"female"
"136";"Adelie";"Dream";"male"
"137";"Adelie";"Dream";"female"
"138";"Adelie";"Dream";"male"
"139";"Adelie";"Dream";"female"
"140";"Adelie";"Dream";"male"
"141";"Adelie";"Dream";"female"
"142";"Adelie";"Dream";"male"
"143";"Adelie";"Dream";"female"
"144";"Adelie";"Dream";"male"
"145";"Adelie";"Dream";"female"
"146";"Adelie";"Dream";"male"
"147";"Adelie";"Dream";"male"
"148";"Adelie";"Dream";"female"
"149";"Adelie";"Dream";"female"
"150";"Adelie";"Dream";"male"
"151";"Adelie";"Dream";"female"
"152";"Adelie";"Dream";"male"
"153";"Gentoo";"Biscoe";"female"
"154";"Gentoo";"Biscoe";"male"
"155";"Gentoo";"Biscoe";"female"
"156";"Gentoo";"Biscoe";"male"
"157";"Gentoo";"Biscoe";"male"
"158";"Gentoo";"Biscoe";"female"
"159";"Gentoo";"Biscoe";"female"
"160";"Gentoo";"Biscoe";"male"
"161";"Gentoo";"Biscoe";"female"
"162";"Gentoo";"Biscoe";"male"
"163";"Gentoo";"Biscoe";"female"
"164";"Gentoo";"Biscoe";"male"
"165";"Gentoo";"Biscoe";"female"
"166";"Gentoo";"Biscoe";"male"
"167";"Gentoo";"Biscoe";"female"
"168";"Gentoo";"Biscoe";"male"
"169";"Gentoo";"Biscoe";"female"
"170";"Gentoo";"Biscoe";"male"
"171";"Gentoo";"Biscoe";"female"
"172";"Gentoo";"Biscoe";"male"
"173";"Gentoo";"Biscoe";"male"
"174";"Gentoo";"Biscoe";"female"
"175";"Gentoo";"Biscoe";"female"
"176";"Gentoo";"Biscoe";"male"
"177";"Gentoo";"Biscoe";"female"
"178";"Gentoo";"Biscoe";"male"
"179";"Gentoo";"Biscoe";NA
"180";"Gentoo";"Biscoe";"male"
"181";"Gentoo";"Biscoe";"female"
"182";"Gentoo";"Biscoe";"male"
"183";"Gentoo";"Biscoe";"male"
"184";"Gentoo";"Biscoe";"female"
"185";"Gentoo";"Biscoe";"female"
"186";"Gentoo";"Biscoe";"male"
"187";"Gentoo";"Biscoe";"female"
"188";"Gentoo";"Biscoe";"male"
"189";"Gentoo";"Biscoe";"female"
"190";"Gentoo";"Biscoe";"male"
"191";"Gentoo";"Biscoe";"female"
"192";"Gentoo";"Biscoe";"male"
"193";"Gentoo";"Biscoe";"female"
"194";"Gentoo";"Biscoe";"male"
"195";"Gentoo";"Biscoe";"female"
"196";"Gentoo";"Biscoe";"male"
"197";"Gentoo";"Biscoe";"male"
"198";"Gentoo";"Biscoe";"female"
"199";"Gentoo";"Biscoe";"female"
"200";"Gentoo";"Biscoe";"male"
"201";"Gentoo";"Biscoe";"female"
"202";"Gentoo";"Biscoe";"male"
"203";"Gentoo";"Biscoe";"female"
"204";"Gentoo";"Biscoe";"male"
"205";"Gentoo";"Biscoe";"female"
"206";"Gentoo";"Biscoe";"male"
"207";"Gentoo";"Biscoe";"female"
"208";"Gentoo";"Biscoe";"male"
"209";"Gentoo";"Biscoe";"female"
"210";"Gentoo";"Biscoe";"male"
"211";"Gentoo";"Biscoe";"female"
"212";"Gentoo";"Biscoe";"male"
"213";"Gentoo";"Biscoe";"female"
"214";"Gentoo";"Biscoe";"male"
"215";"Gentoo";"Biscoe";"female"
"216";"Gentoo";"Biscoe";"male"
"217";"Gentoo";"Biscoe";"female"
"218";"Gentoo";"Biscoe";"male"
"219";"Gentoo";"Biscoe";NA
"220";"Gentoo";"Biscoe";"male"
"221";"Gentoo";"Biscoe";"female"
"222";"Gentoo";"Biscoe";"male"
"223";"Gentoo";"Biscoe";"female"
"224";"Gentoo";"Biscoe";"male"
"225";"Gentoo";"Biscoe";"male"
"226";"Gentoo";"Biscoe";"female"
"227";"Gentoo";"Biscoe";"female"
"228";"Gentoo";"Biscoe";"male"
"229";"Gentoo";"Biscoe";"female"
"230";"Gentoo";"Biscoe";"male"
"231";"Gentoo";"Biscoe";"female"
"232";"Gentoo";"Biscoe";"male"
"233";"Gentoo";"Biscoe";"female"
"234";"Gentoo";"Biscoe";"male"
"235";"Gentoo";"Biscoe";"female"
"236";"Gentoo";"Biscoe";"male"
"237";"Gentoo";"Biscoe";"female"
"238";"Gentoo";"Biscoe";"male"
"239";"Gentoo";"Biscoe";"female"
"240";"Gentoo";"Biscoe";"male"
"241";"Gentoo";"Biscoe";"female"
"242";"Gentoo";"Biscoe";"male"
"243";"Gentoo";"Biscoe";"female"
"244";"Gentoo";"Biscoe";"male"
"245";"Gentoo";"Biscoe";"female"
"246";"Gentoo";"Biscoe";"male"
"247";"Gentoo";"Biscoe";"female"
"248";"Gentoo";"Biscoe";"male"
"249";"Gentoo";"Biscoe";"male"
"250";"Gentoo";"Biscoe";"female"
"251";"Gentoo";"Biscoe";"female"
"252";"Gentoo";"Biscoe";"male"
"253";"Gentoo";"Biscoe";"female"
"254";"Gentoo";"Biscoe";"male"
"255";"Gentoo";"Biscoe";"female"
"256";"Gentoo";"Biscoe";"male"
"257";"Gentoo";"Biscoe";NA
"258";"Gentoo";"Biscoe";"male"
"259";"Gentoo";"Biscoe";"female"
"260";"Gentoo";"Biscoe";"male"
"261";"Gentoo";"Biscoe";"female"
"262";"Gentoo";"Biscoe";"male"
"263";"Gentoo";"Biscoe";"female"
"264";"Gentoo";"Biscoe";"male"
"265";"Gentoo";"Biscoe";"female"
"266";"Gentoo";"Biscoe";"male"
"267";"Gentoo";"Biscoe";"female"
"268";"Gentoo";"Biscoe";"male"
"269";"Gentoo";"Biscoe";NA
"270";"Gentoo";"Biscoe";"male"
"271";"Gentoo";"Biscoe";"female"
"272";"Gentoo";"Biscoe";NA
"273";"Gentoo";"Biscoe";"female"
"274";"Gentoo";"Biscoe";"male"
"275";"Gentoo";"Biscoe";"female"
"276";"Gentoo";"Biscoe";"male"
"277";"Chinstrap";"Dream";"female"
"278";"Chinstrap";"Dream";"male"
"279";"Chinstrap";"Dream";"male"
"280";"Chinstrap";"Dream";"female"
"281";"Chinstrap";"Dream";"male"
"282";"Chinstrap";"Dream";"female"
"283";"Chinstrap";"Dream";"female"
"284";"Chinstrap";"Dream";"male"
"285";"Chinstrap";"Dream";"female"
"286";"Chinstrap";"Dream";"male"
"287";"Chinstrap";"Dream";"female"
"288";"Chinstrap";"Dream";"male"
"289";"Chinstrap";"Dream";"female"
"290";"Chinstrap";"Dream";"male"
"291";"Chinstrap";"Dream";"female"
"292";"Chinstrap";"Dream";"male"
"293";"Chinstrap";"Dream";"male"
"294";"Chinstrap";"Dream";"female"
"295";"Chinstrap";"Dream";"female"
"296";"Chinstrap";"Dream";"male"
"297";"Chinstrap";"Dream";"female"
"298";"Chinstrap";"Dream";"male"
"299";"Chinstrap";"Dream";"female"
"300";"Chinstrap";"Dream";"male"
"301";"Chinstrap";"Dream";"female"
"302";"Chinstrap";"Dream";"male"
"303";"Chinstrap";"Dream";"female"
"304";"Chinstrap";"Dream";"male"
"305";"Chinstrap";"Dream";"female"
"306";"Chinstrap";"Dream";"male"
"307";"Chinstrap";"Dream";"female"
"308";"Chinstrap";"Dream";"male"
"309";"Chinstrap";"Dream";"female"
"310";"Chinstrap";"Dream";"male"
"311";"Chinstrap";"Dream";"male"
"312";"Chinstrap";"Dream";"female"
"313";"Chinstrap";"Dream";"female"
"314";"Chinstrap";"Dream";"male"
"315";"Chinstrap";"Dream";"female"
"316";"Chinstrap";"Dream";"male"
"317";"Chinstrap";"Dream";"male"
"318";"Chinstrap";"Dream";"female"
"319";"Chinstrap";"Dream";"male"
"320";"Chinstrap";"Dream";"female"
"321";"Chinstrap";"Dream";"female"
"322";"Chinstrap";"Dream";"male"
"323";"Chinstrap";"Dream";"female"
"324";"Chinstrap";"Dream";"male"
"325";"Chinstrap";"Dream";"male"
"326";"Chinstrap";"Dream";"female"
"327";"Chinstrap";"Dream";"female"
"328";"Chinstrap";"Dream";"male"
"329";"Chinstrap";"Dream";"female"
"330";"Chinstrap";"Dream";"male"
"331";"Chinstrap";"Dream";"female"
"332";"Chinstrap";"Dream";"male"
"333";"Chinstrap";"Dream";"female"
"334";"Chinstrap";"Dream";"male"
"335";"Chinstrap";"Dream";"male"
"336";"Chinstrap";"Dream";"female"
"337";"Chinstrap";"Dream";"male"
"338";"Chinstrap";"Dream";"female"
"339";"Chinstrap";"Dream";"female"
"340";"Chinstrap";"Dream";"male"
"341";"Chinstrap";"Dream";"female"
"342";"Chinstrap";"Dream";"male"
"343";"Chinstrap";"Dream";"male"
"344";"Chinstrap";"Dream";"female"
